Player ID,Name,Legal Name,Player Type,Status,Weight,Height,Birth Year,Birth Year Category,Birth State,Birth Country,Latitude,Longitude,Debut,Final Game,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,Bats,Throws
manzajo01,Josias Manzanillo,Josias,AllStar,Inactive,190.0,72.0,1967,1960-1969,San Pedro de Macoris,D.R.,18.735693,-70.162651,1991-10-05,2004-09-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
manzara01,Ravelo Manzanillo,Ravelo,AllStar,Inactive,210.0,72.0,1963,1960-1969,San Pedro de Macoris,D.R.,18.735693,-70.162651,1988-09-25,1995-05-09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,L
marakpa01,Paul Marak,Paul Patrick,AllStar,Inactive,175.0,74.0,1965,1960-1969,Suffolk,United Kingdom,55.378051,-3.435973,1990-09-01,1990-10-02,7.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,R,R
marange01,Georges Maranda,Georges Henri,AllStar,Inactive,195.0,74.0,1932,1930-1939,QC,CAN,56.130366,-106.346771,1960-04-26,1962-09-10,17.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,R,R
marchph01,Phil Marchildon,Philip Joseph,AllStar,Inactive,170.0,70.0,1913,1910-1919,ON,CAN,56.130366,-106.346771,1940-09-22,1950-07-16,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,R,R
maricju01,Juan Marichal,Juan Antonio,HallofFame,Active,185.0,72.0,1937,1930-1939,Monte Cristi,D.R.,18.735693,-70.162651,1960-07-19,1975-04-16,11.0,31.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,7.0,R,R
marimsu01,Sugar Ray Marimon,Sugar Ray,AllStar,Inactive,195.0,73.0,1988,1980-1989,Bolivar,Colombia,4.570868,-74.297333,2015-04-14,2015-09-25,16.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,R,R
marinjh01,Jhan Marinez,Jhan Carlos,AllStar,Inactive,200.0,73.0,1988,1980-1989,Distrito Nacional,D.R.,18.735693,-70.162651,2010-07-16,2012-09-29,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
markedu01,Duke Markell,Harry Duquesne,AllStar,Inactive,209.0,73.0,1923,1920-1929,,France,46.227638,2.213749,1951-09-06,1951-09-29,5.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,R,R
marmoca01,Carlos Marmol,Carlos Agustin,AllStar,Inactive,235.0,73.0,1982,1980-1989,Monsenor Nouel,D.R.,18.735693,-70.162651,2006-06-04,2014-05-10,21.0,23.0,3.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,R,R
marqugo01,Gonzalo Marquez,Gonzalo Enrique,AllStar,Inactive,180.0,71.0,1940,1940-1949,Sucre,Venezuela,6.42375,-66.58973,1972-08-11,1974-06-05,23.0,21.0,2.0,8.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,4.0,L,L
